,,,,,,,,,,,,,,,,,,,,
Start time (UTC)/yyyy-mm-dd,Start time (UTC)/hh:mm:ss,Duration/h:mm:ss,Pkt loss/fraction/×10-2,Total and fraction of traffic/IPv4/pkts,Total and fraction of traffic/IPv4/×10-2,Total and fraction of traffic/IPv6/pkts,Total and fraction of traffic/IPv6/×10-4,Total and fraction of traffic/other/pkts,Total and fraction of traffic/other/×10-4,Mean transmission rate/pkts/s,Mean transmission rate/bits/s,Mean transmission rate/load,flows/s,Packet size (bytes)/IPv4/Mean,Packet size (bytes)/IPv4/Median,Packet size (bytes)/IPv6/Mean,Packet size (bytes)/IPv6/Median,Packet size (bytes)/CDF,Packet size (bytes)/data,Location
 2010-03-25   , 12:59:05 , +01:01:59 , 0.0 , 2023048646 , 99.99 , 108004 , 0.53 , 0 , 0.00 , 543.88 k ,  2.48 G , 24.9 % , 33.86 k , 570 , 70 , 253 , 171 ,   graph ,   file ,sanjose (dirA)
 2010-02-25   , 12:59:04 , +01:01:59 , 0.0 , 1652792625 , 100.00 , 29797 , 0.18 , 0 , 0.00 , 444.32 k ,  2.09 G , 21.0 % , 30.00 k , 587 , 79 , 208 , 99 ,   graph ,   file ,sanjose (dirA)
 2010-01-21   , 12:59:04 , +01:01:59 , 0.0 , 1168160320 , 100.00 , 34583 , 0.30 , 0 , 0.00 , 314.04 k ,  1.47 G , 14.8 % , 21.21 k , 586 , 72 , 144 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-12-17   , 12:59:04 , +01:01:59 , 53.6 , 803514895 , 99.71 , 139545 , 1.73 , 2.23 M , 27.61 , 215.97 k ,  1.15 G , 11.5 % , 16.57 k , 663 , 165 , 14.32 k , 2.21 k ,   graph ,   file ,sanjose (dirA)
 2009-11-19   , 12:59:04 , +01:01:59 , 0.0 , 1606770125 , 100.00 , 47079 , 0.29 , 0 , 0.00 , 431.95 k ,  1.86 G , 18.7 % , 27.42 k , 538 , 66 , 293 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-10-15   , 12:59:05 , +01:01:59 , 0.0 , 2460311121 , 100.00 , 53050 , 0.22 , 0 , 0.00 , 661.41 k ,  3.09 G , 31.1 % , 54.36 k , 585 , 89 , 305 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-09-17   , 12:59:05 , +01:01:59 , 0.0 , 2385472953 , 100.00 , 60040 , 0.25 , 0 , 0.00 , 641.29 k ,  2.86 G , 28.8 % , 61.32 k , 558 , 72 , 282 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-08-20   , 12:59:05 , +01:01:59 , 1.5 , 1771382907 , 100.00 , 75371 , 0.43 , 0 , 0.00 , 476.21 k ,  2.17 G , 21.8 % , 39.34 k , 571 , 78 , 236 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-07-16   , 12:59:05 , +01:02:00 , 1.3 , 2129056088 , 100.00 , 67944 , 0.32 , 0 , 0.00 , 572.21 k ,  2.48 G , 24.9 % , 43.19 k , 542 , 66 , 240 , 111 ,   graph ,   file ,sanjose (dirA)
 2009-06-18   , 12:59:04 , +01:01:59 , 2.4 , 2303117226 , 100.00 , 41705 , 0.18 , 0 , 0.00 , 619.14 k ,  2.36 G , 23.7 % , 58.03 k , 477 , 60 , 348 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-05-21   , 12:59:03 , +01:01:59 , 1.4 , 2043760181 , 100.00 , 42291 , 0.21 , 0 , 0.00 , 549.42 k ,  2.49 G , 25.0 % , 40.79 k , 567 , 76 , 344 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-04-16   , 12:59:04 , +01:01:59 , 0.0 , 2905440264 , 100.00 , 56507 , 0.19 , 0 , 0.00 , 781.07 k ,  4.24 G , 42.6 % , 41.27 k , 679 , 200 , 363 , 99 ,   graph ,   file ,sanjose (dirA)
 2009-03-31   , 12:59:03 , +01:01:59 , 0.0 , 1987063934 , 100.00 , 47518 , 0.24 , 0 , 0.00 , 534.18 k ,  2.20 G , 22.1 % , 46.42 k , 516 , 65 , 408 , 99 ,   graph ,   file ,sanjose (dirA)
 2008-11-20   , 12:59:03 , +00:57:13 , 1.8 , 1429529054 , 100.00 , 68911 , 0.48 , 0 , 0.00 , 416.31 k ,  1.87 G , 18.8 % , 31.98 k , 562 , 95 , 397 , 99 ,   graph ,   file ,sanjose (dirA)
 2008-10-16   , 12:59:04 , +01:01:59 , 0.0 , 1407792816 , 99.99 , 109445 , 0.78 , 0 , 0.00 , 378.48 k ,  1.84 G , 18.5 % , 25.93 k , 609 , 129 , 265 , 99 ,   graph ,   file ,sanjose (dirA)
 1970-01-01 , 00:01:13 , +01:00:47 , 1.9 , 1418188489 , 99.98 , 269376 , 1.90 , 0 , 0.00 , 388.88 k ,  2.23 G , 22.4 % ,  , 716 , 389 , 166 , 98 ,   graph ,   file ,sanjose (dirA)
 2008-08-21   , 12:59:04 , +01:01:59 , 0.0 , 1376104207 , 99.99 , 158149 , 1.15 , 0 , 0.00 , 369.97 k ,  1.90 G , 19.1 % , 25.37 k , 643 , 156 , 202 , 99 ,   graph ,   file ,sanjose (dirA)
 2008-07-17   , 12:59:07 , +01:01:59 , 0.0 , 1544900588 , 100.00 , 74603 , 0.48 , 0 , 0.00 , 415.32 k ,  2.05 G , 20.6 % , 29.18 k , 618 , 126 , 292 , 99 ,   graph ,   file ,sanjose (dirA)
 2013-08-15 , 12:59:05 , +01:27:42 , 0.0 , 704072204 , 99.92 , 539750 , 7.66 , 0 , 0.00 , 133.88 k ,  799.99 M , 8.0 % ,  , 747 , 463 , 314 , 93 ,   ,   ,sanjose (dirB)
 2013-07-18 , 12:59:05 , +01:28:32 , 0.0 , 711851281 , 99.92 , 578185 , 8.12 , 0 , 0.00 , 134.11 k ,  767.94 M , 7.7 % ,  , 716 , 249 , 281 , 93 ,   ,   ,sanjose (dirB)
 2013-06-20   , 12:59:29 , +01:01:59 , 0.0 , 1576776219 , 99.89 , 1798886 , 11.40 , 0 , 0.00 , 424.35 k ,  2.57 G , 25.9 % , 12.73 k , 759 , 582 , 172 , 89 ,   graph ,   file ,sanjose (dirB)
 2013-05-29   , 12:59:48 , +01:02:00 , 0.0 , 1393056475 , 99.88 , 1640218 , 11.76 , 0 , 0.00 , 374.82 k ,  2.16 G , 21.7 % , 12.04 k , 720 , 333 , 167 , 89 ,   graph ,   file ,sanjose (dirB)
 2013-05-16   , 12:59:18 , +01:01:59 , 0.0 , 2064947147 , 99.89 , 2303406 , 11.14 , 0 , 0.00 , 555.72 k ,  3.36 G , 33.8 % , 24.02 k , 757 , 985 , 146 , 72 ,   graph ,   file ,sanjose (dirB)
 2013-04-25   , 12:59:20 , +01:01:59 , 0.0 , 1172156260 , 99.94 , 717489 , 6.12 , 0 , 0.00 , 315.30 k ,  1.76 G , 17.7 % , 10.20 k , 699 , 252 , 269 , 104 ,   graph ,   file ,sanjose (dirB)
 2013-04-18   , 12:59:25 , +01:01:59 , 0.0 , 1504688449 , 99.91 , 1419872 , 9.43 , 0 , 0.00 , 404.88 k ,  1.82 G , 18.2 % , 11.00 k , 561 , 52 , 188 , 72 ,   graph ,   file ,sanjose (dirB)
 2013-03-21   , 12:59:37 , +01:01:59 , 0.0 , 1419713923 , 99.95 , 704515 , 4.96 , 0 , 0.00 , 381.87 k ,  1.60 G , 16.1 % , 143.04 k , 525 , 52 , 313 , 112 ,   graph ,   file ,sanjose (dirB)
 2013-02-21   , 12:59:03 , +01:01:59 , 0.0 , 1024425933 , 99.96 , 411882 , 4.02 , 0 , 0.00 , 275.50 k ,  1.80 G , 18.1 % , 7.78 k , 817 , 1.25 k , 401 , 149 ,   graph ,   file ,sanjose (dirB)
 2013-01-17   , 12:59:04 , +01:01:59 , 0.0 , 1268590040 , 99.97 , 424807 , 3.35 , 0 , 0.00 , 341.14 k ,  1.85 G , 18.6 % , 32.88 k , 679 , 131 , 327 , 98 ,   graph ,   file ,sanjose (dirB)
 2012-12-20   , 12:59:10 , +01:01:59 , 0.0 , 1226264730 , 99.97 , 426066 , 3.47 , 0 , 0.00 , 329.76 k ,  1.85 G , 18.6 % , 9.26 k , 702 , 224 , 337 , 103 ,   graph ,   file ,sanjose (dirB)
 2012-11-15   , 12:59:06 , +01:01:59 , 0.0 , 1152903011 , 99.97 , 402836 , 3.49 , 0 , 0.00 , 310.03 k ,  1.62 G , 16.2 % , 15.60 k , 652 , 172 , 347 , 104 ,   graph ,   file ,sanjose (dirB)
 2012-10-18   , 12:59:05 , +01:01:59 , 0.0 , 1259992862 , 99.96 , 462378 , 3.67 , 0 , 0.00 , 338.84 k ,  1.94 G , 19.5 % , 9.23 k , 716 , 291 , 437 , 215 ,   graph ,   file ,sanjose (dirB)
 2012-09-20   , 12:59:05 , +01:01:59 , 0.0 , 1095163707 , 99.88 , 1323365 , 12.07 , 0 , 0.00 , 294.76 k ,  1.57 G , 15.7 % , 10.15 k , 665 , 140 , 215 , 72 ,   graph ,   file ,sanjose (dirB)
 2012-08-16   , 12:59:05 , +01:01:59 , 0.0 , 1048179691 , 99.95 , 535336 , 5.10 , 0 , 0.00 , 281.92 k ,  1.32 G , 13.3 % , 8.99 k , 586 , 72 , 315 , 103 ,   graph ,   file ,sanjose (dirB)
 2012-07-19   , 12:59:05 , +01:01:59 , 0.0 , 863882563 , 99.96 , 314124 , 3.63 , 0 , 0.00 , 232.31 k ,  1.20 G , 12.1 % , 7.64 k , 646 , 126 , 303 , 77 ,   graph ,   file ,sanjose (dirB)
 2012-06-21   , 12:59:05 , +01:01:59 , 0.0 , 1337050063 , 99.97 , 409056 , 3.06 , 0 , 0.00 , 359.54 k ,  1.99 G , 20.0 % , 11.41 k , 693 , 214 , 407 , 100 ,   graph ,   file ,sanjose (dirB)
 2012-06-06   , 23:48:06 , +01:01:59 , 0.0 , 2545318584 , 99.91 , 2192057 , 8.60 , 0 , 0.00 , 684.83 k ,  4.17 G , 41.9 % , 16.61 k , 763 , 636 , 151 , 72 ,   graph ,   file ,sanjose (dirB)
 2012-06-06   , 12:59:05 , +01:01:59 , 0.0 , 1809394784 , 99.96 , 708295 , 3.91 , 0 , 0.00 , 486.60 k ,  2.06 G , 20.7 % , 13.77 k , 528 , 52 , 233 , 72 ,   graph ,   file ,sanjose (dirB)
 2012-06-05   , 23:48:05 , +01:01:59 , 0.0 , 2754198836 , 99.93 , 1854193 , 6.73 , 0 , 0.00 , 740.89 k ,  4.96 G , 49.8 % , 17.50 k , 837 , 1.36 k , 181 , 72 ,   graph ,   file ,sanjose (dirB)
 2012-05-17   , 12:59:05 , +01:01:59 , 0.0 , 1333271662 , 99.99 , 162875 , 1.22 , 0 , 0.00 , 358.46 k ,  1.90 G , 19.0 % , 11.29 k , 661 , 134 , 502 , 149 ,   graph ,   file ,sanjose (dirB)
 2012-04-19   , 12:59:28 , +01:01:59 , 0.0 , 1312039501 , 99.99 , 108764 , 0.83 , 0 , 0.00 , 352.73 k ,  1.73 G , 17.4 % , 11.90 k , 613 , 88 , 373 , 104 ,   graph ,   file ,sanjose (dirB)
 2012-04-18   , 12:59:04 , +01:01:59 , 0.0 , 1246752335 , 99.99 , 107123 , 0.86 , 0 , 0.00 , 335.18 k ,  1.65 G , 16.6 % , 11.72 k , 616 , 92 , 400 , 104 ,   graph ,   file ,sanjose (dirB)
 2012-03-15   , 12:59:05 , +01:01:59 , 0.0 , 920779322 , 99.99 , 106973 , 1.16 , 0 , 0.00 , 247.56 k ,  1.31 G , 13.2 % , 8.26 k , 663 , 140 , 360 , 104 ,   graph ,   file ,sanjose (dirB)
 2012-02-16   , 12:59:05 , +01:01:59 , 0.0 , 1130222208 , 99.99 , 112750 , 1.00 , 0 , 0.00 , 303.86 k ,  1.52 G , 15.2 % , 9.78 k , 624 , 84 , 365 , 104 ,   graph ,   file ,sanjose (dirB)
 2012-01-19   , 12:59:04 , +01:01:59 , 0.0 , 1705093281 , 99.99 , 201335 , 1.18 , 0 , 0.00 , 458.42 k ,  2.46 G , 24.7 % , 15.82 k , 670 , 120 , 754 , 1.04 k ,   graph ,   file ,sanjose (dirB)
 2011-12-22   , 12:59:04 , +01:01:59 , 0.0 , 1300695366 , 99.99 , 124459 , 0.96 , 0 , 0.00 , 349.69 k ,  1.66 G , 16.6 % , 11.60 k , 592 , 70 , 444 , 104 ,   graph ,   file ,sanjose (dirB)
 2011-11-17 , 12:59:25 , +01:01:57 , 0.0 , 4668163197 , 100.00 , 61325 , 0.13 , 0 , 0.00 , 1.26 M ,  1.37 G , 13.8 % ,  , 137 , 76 , 658 , 321 ,   graph ,   file ,sanjose (dirB)
 2011-10-20   , 12:59:04 , +01:01:59 , 0.0 , 2156688510 , 99.98 , 346043 , 1.60 , 0 , 0.00 , 579.86 k ,  2.49 G , 25.1 % , 20.06 k , 538 , 64 , 1.10 k , 1.50 k ,   graph ,   file ,sanjose (dirB)
 2011-09-15   , 12:59:18 , +01:01:59 , 0.0 , 2212318147 , 99.99 , 131936 , 0.60 , 0 , 0.00 , 594.75 k ,  2.67 G , 26.9 % , 40.92 k , 562 , 60 , 517 , 104 ,   graph ,   file ,sanjose (dirB)
 2011-08-25   , 12:59:06 , +01:01:59 , 0.0 , 1852658828 , 99.99 , 121777 , 0.66 , 0 , 0.00 , 498.07 k ,  2.39 G , 24.0 % , 17.44 k , 600 , 64 , 419 , 104 ,   graph ,   file ,sanjose (dirB)
 2011-07-21   , 12:59:05 , +01:01:59 , 0.0 , 1730280361 , 99.99 , 146478 , 0.85 , 0 , 0.00 , 465.18 k ,  2.03 G , 20.4 % , 17.05 k , 546 , 60 , 584 , 152 ,   graph ,   file ,sanjose (dirB)
 2011-06-08   , 23:44:04 , +01:01:59 , 0.0 , 2436058785 , 99.99 , 170002 , 0.70 , 0 , 0.00 , 654.91 k ,  4.30 G , 43.2 % , 21.44 k , 821 , 1.24 k , 477 , 104 ,   graph ,   file ,sanjose (dirB)
 2011-06-08   , 12:59:23 , +01:01:59 , 0.0 , 1894784666 , 99.99 , 162058 , 0.86 , 0 , 0.00 , 509.40 k ,  2.69 G , 27.0 % , 19.51 k , 659 , 125 , 532 , 104 ,   graph ,   file ,sanjose (dirB)
 2011-06-07   , 23:44:04 , +01:01:59 , 0.0 , 2503146918 , 99.99 , 174326 , 0.70 , 0 , 0.00 , 672.95 k ,  4.40 G , 44.2 % , 21.99 k , 818 , 1.21 k , 559 , 111 ,   graph ,   file ,sanjose (dirB)
 2011-05-19   , 12:59:04 , +01:01:59 , 0.0 , 1581504667 , 99.99 , 218030 , 1.38 , 0 , 0.00 , 425.20 k ,  2.40 G , 24.1 % , 16.43 k , 705 , 280 , 522 , 191 ,   graph ,   file ,sanjose (dirB)
 2011-04-13   , 12:59:05 , +01:01:59 , 0.0 , 1780226771 , 100.00 , 87698 , 0.49 , 0 , 0.00 , 478.59 k ,  2.69 G , 27.0 % , 17.85 k , 703 , 317 , 401 , 104 ,   graph ,   file ,sanjose (dirB)
 2011-03-24   , 12:59:04 , +01:01:59 , 0.0 , 3057560023 , 100.00 , 69290 , 0.23 , 0 , 0.00 , 821.96 k ,  5.16 G , 51.8 % , 37.17 k , 785 , 844 , 248 , 102 ,   graph ,   file ,sanjose (dirB)
 2011-02-17   , 12:59:03 , +01:01:59 , 0.0 , 2037449118 , 99.99 , 131880 , 0.65 , 0 , 0.00 , 547.75 k ,  3.54 G , 35.5 % , 22.57 k , 807 , 1.11 k , 214 , 80 ,   graph ,   file ,sanjose (dirB)
 2011-01-20   , 12:59:05 , +01:01:59 , 0.0 , 1313681895 , 100.00 , 27527 , 0.21 , 0 , 0.00 , 353.15 k ,  1.67 G , 16.7 % , 16.21 k , 590 , 77 , 277 , 112 ,   graph ,   file ,sanjose (dirB)
 2010-12-17   , 12:59:05 , +01:01:59 , 0.0 , 1282346778 , 100.00 , 32210 , 0.25 , 0 , 0.00 , 344.73 k ,  1.62 G , 16.2 % , 15.57 k , 586 , 77 , 345 , 104 ,   graph ,   file ,sanjose (dirB)
 2010-11-18   , 12:59:05 , +01:01:59 , 0.0 , 2325403394 , 100.00 , 21206 , 0.09 , 0 , 0.00 , 625.12 k ,  3.45 G , 34.6 % , 25.82 k , 689 , 200 , 178 , 104 ,   graph ,   file ,sanjose (dirB)
 2010-10-29   , 12:59:03 , +01:01:59 , 0.0 , 1931471491 , 100.00 , 20633 , 0.11 , 0 , 0.00 , 519.23 k ,  2.80 G , 28.1 % , 19.82 k , 673 , 133 , 174 , 111 ,   graph ,   file ,sanjose (dirB)
 2010-09-16   , 12:59:07 , +01:02:00 , 0.0 , 2353165511 , 100.00 , 22892 , 0.10 , 0 , 0.00 , 632.42 k ,  3.43 G , 34.5 % , 34.50 k , 679 , 191 , 176 , 111 ,   graph ,   file ,sanjose (dirB)
 2010-08-19   , 12:59:05 , +01:18:43 , 0.0 , 671057765 , 100.00 , 7984 , 0.12 , 0 , 0.00 , 155.36 k ,  865.70 M , 8.7 % , 10.60 k , 697 , 224 , 214 , 110 ,   graph ,   file ,sanjose (dirB)
 2010-07-15   , 12:59:05 , +01:01:59 , 0.0 , 2593996530 , 100.00 , 21185 , 0.08 , 0 , 0.00 , 697.33 k ,  4.82 G , 48.4 % , 29.15 k , 863 , 1.40 k , 144 , 99 ,   graph ,   file ,sanjose (dirB)
 2010-06-17 , 12:59:09 , +01:01:33 , 0.0 , 590551001 , 100.00 , 5805 , 0.10 , 0 , 0.00 , 159.89 k ,  1.20 G , 12.1 % ,  , 941 , 1.44 k , 1.77 k , 112 ,   graph ,   file ,sanjose (dirB)
 2010-04-14   , 12:59:05 , +01:01:59 , 0.0 , 2915469214 , 100.00 , 37484 , 0.13 , 0 , 0.00 , 783.75 k ,  5.15 G , 51.8 % , 38.07 k , 822 , 1.11 k , 227 , 111 ,   graph ,   file ,sanjose (dirB)
 2010-03-25   , 12:59:04 , +01:01:59 , 0.0 , 1710755823 , 100.00 , 39837 , 0.23 , 0 , 0.00 , 459.90 k ,  3.11 G , 31.3 % , 21.08 k , 845 , 1.30 k , 197 , 111 ,   graph ,   file ,sanjose (dirB)
 2010-02-25   , 12:59:04 , +01:01:59 , 0.0 , 1245731474 , 99.99 , 67054 , 0.54 , 0 , 0.00 , 334.90 k ,  2.19 G , 22.0 % , 14.76 k , 818 , 1.01 k , 668 , 112 ,   graph ,   file ,sanjose (dirB)
 2010-01-21   , 12:59:05 , +01:01:59 , 0.0 , 1616284366 , 100.00 , 28685 , 0.18 , 0 , 0.00 , 434.50 k ,  2.62 G , 26.3 % , 23.15 k , 753 , 564 , 123 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-12-17   , 12:59:04 , +01:01:59 , 0.0 , 1097513018 , 100.00 , 40092 , 0.37 , 0 , 0.00 , 295.05 k ,  1.98 G , 19.9 % , 12.74 k , 839 , 1.06 k , 342 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-11-19   , 12:59:05 , +01:01:59 , 0.0 , 1213838228 , 100.00 , 34242 , 0.28 , 0 , 0.00 , 326.31 k ,  2.09 G , 21.0 % , 12.74 k , 802 , 820 , 332 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-10-15   , 12:59:04 , +01:01:59 , 0.0 , 1315749745 , 100.00 , 45259 , 0.34 , 0 , 0.00 , 353.71 k ,  2.43 G , 24.4 % , 18.82 k , 857 , 1.28 k , 359 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-09-17   , 12:59:06 , +01:01:59 , 0.0 , 1624804826 , 100.00 , 42527 , 0.26 , 0 , 0.00 , 436.80 k ,  2.77 G , 27.8 % , 25.71 k , 793 , 815 , 341 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-08-20   , 12:59:05 , +01:01:59 , 1.9 , 1587478873 , 100.00 , 68153 , 0.43 , 0 , 0.00 , 426.77 k ,  2.73 G , 27.4 % , 25.59 k , 799 , 840 , 260 , 111 ,   graph ,   file ,sanjose (dirB)
 2009-07-16   , 12:59:04 , +01:01:59 , 1.9 , 1558946614 , 100.00 , 43408 , 0.28 , 0 , 0.00 , 419.09 k ,  2.77 G , 27.8 % , 22.21 k , 826 , 1.09 k , 357 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-06-18   , 12:59:04 , +01:01:59 , 0.0 , 2342842166 , 100.00 , 51567 , 0.22 , 0 , 0.00 , 629.82 k ,  4.11 G , 41.3 % , 38.96 k , 816 , 1.06 k , 303 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-05-21   , 12:59:04 , +01:01:59 , 0.0 , 1403260424 , 100.00 , 44131 , 0.31 , 0 , 0.00 , 377.24 k ,  2.18 G , 21.9 % , 18.77 k , 723 , 361 , 356 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-04-16   , 12:59:04 , +01:01:59 , 1.0 , 3237461027 , 100.00 , 47657 , 0.15 , 0 , 0.00 , 870.32 k ,  6.99 G , 70.2 % , 29.95 k , 1.00 k , 1.44 k , 427 , 111 ,   graph ,   file ,sanjose (dirB)
 2009-03-31   , 12:59:04 , +01:01:59 , 0.0 , 1599572196 , 100.00 , 53501 , 0.33 , 0 , 0.00 , 430.01 k ,  2.13 G , 21.4 % , 35.52 k , 621 , 185 , 382 , 99 ,   graph ,   file ,sanjose (dirB)
 2009-02-19   , 12:59:05 , +01:01:59 , 2.6 , 1165249135 , 99.99 , 61799 , 0.53 , 0 , 0.00 , 313.26 k ,  1.43 G , 14.3 % , 13.89 k , 569 , 67 , 533 , 112 ,   graph ,   file ,sanjose (dirB)
 2009-01-15   , 12:59:04 , +01:01:59 , 2.9 , 1007945424 , 99.99 , 53502 , 0.53 , 0 , 0.00 , 270.98 k ,  1.31 G , 13.1 % , 12.18 k , 602 , 79 , 474 , 99 ,   graph ,   file ,sanjose (dirB)
 2008-12-18   , 12:59:04 , +01:01:59 , 0.0 , 1272849117 , 100.00 , 56622 , 0.44 , 0 , 0.00 , 342.19 k ,  1.52 G , 15.3 % , 19.30 k , 555 , 71 , 485 , 99 ,   graph ,   file ,sanjose (dirB)
 2008-11-20   , 12:59:03 , +01:01:59 , 2.6 , 1098795728 , 99.99 , 59807 , 0.54 , 0 , 0.00 , 295.40 k ,  1.16 G , 11.6 % , 16.15 k , 491 , 60 , 477 , 99 ,   graph ,   file ,sanjose (dirB)
 2008-10-16   , 12:59:04 , +01:01:59 , 3.2 , 889369560 , 99.99 , 84862 , 0.95 , 0 , 0.00 , 239.10 k ,  981.60 M , 9.9 % , 13.54 k , 513 , 60 , 432 , 221 ,   graph ,   file ,sanjose (dirB)
 2008-09-18   , 12:59:04 , +01:01:59 , 3.2 , 877833274 , 99.99 , 83881 , 0.96 , 0 , 0.00 , 236.00 k ,  968.31 M , 9.7 % , 15.97 k , 513 , 60 , 384 , 189 ,   graph ,   file ,sanjose (dirB)
 2008-08-21   , 13:00:03 , +01:01:59 , 0.0 , 1101448679 , 99.99 , 80973 , 0.74 , 0 , 0.00 , 296.11 k ,  1.15 G , 11.5 % , 15.75 k , 485 , 60 , 393 , 196 ,   graph ,   file ,sanjose (dirB)
 2008-07-17   , 12:59:07 , +01:01:59 , 2.8 , 986740902 , 99.99 , 54569 , 0.55 , 0 , 0.00 , 265.27 k ,  956.61 M , 9.6 % , 13.49 k , 451 , 52 , 425 , 111 ,   graph ,   file ,sanjose (dirB)
 2007-01-08 , 23:00:30 , +49:59:59 , 0.0 , 468583515 , 100.00 , 0 , 0.00 , 0 , 0.00 , 2.59 k ,  17.79 M , 2.9 % ,  , 859 , 1.36 k , 399 , 92 ,   graph ,   file ,sanjose (dirB)
2007-01-08 , 23:00:30 , +49:59:59 , 0.0 , 395148733 , 100.00 , 0 , 0.00 , 0 , 0.00 , 2.18 k ,  11.77 M , 1.9 % ,  , 675 , 248 , 233 , 104 ,   graph ,   file ,sanjose (dirB)
2005-03-02 , 21:59:08 , +02:01:59 , 0.0 , 730573426 , 99.99 , 87120 , 1.19 , 11.64 k , 0.16 , 99.82 k ,  602.59 M , 24.2 % ,  , 755 , 576 , 102 , 111 ,   graph ,   file ,oc12-ampath (dirA)
 2005-02-02 , 21:59:08 , +02:01:59 , 0.0 , 829217786 , 99.99 , 73500 , 0.89 , 11.60 k , 0.14 , 113.29 k ,  670.71 M , 27.0 % ,  , 740 , 576 , 101 , 92 ,   graph ,   file ,oc12-ampath (dirA)
 2005-01-21 , 21:59:08 , +02:01:59 , 0.0 , 902103915 , 99.99 , 87872 , 0.97 , 11.72 k , 0.13 , 123.25 k ,  689.45 M , 27.7 % ,  , 699 , 284 , 101 , 92 ,   graph ,   file ,oc12-ampath (dirA)
 2005-01-13 , 21:59:07 , +02:01:58 , 0.0 , 883096785 , 99.99 , 87422 , 0.99 , 11.99 k , 0.14 , 120.67 k ,  641.83 M , 25.8 % ,  , 665 , 195 , 102 , 92 ,   graph ,   file ,oc12-ampath (dirA)
 2004-12-25 , 21:59:08 , +01:01:59 , 0.0 , 342151451 , 99.99 , 43409 , 1.27 , 6.03 k , 0.18 , 91.99 k ,  544.62 M , 21.9 % ,  , 740 , 576 , 101 , 92 ,   graph ,   file ,oc12-ampath (dirA)
 2004-12-01 , 21:59:07 , +02:01:59 , 0.0 , 344871450 , 99.97 , 89328 , 2.59 , 11.76 k , 0.34 , 47.13 k ,  174.11 M , 7.0 % ,  , 462 , 60 , 100 , 92 ,   graph ,   file ,oc12-ampath (dirA)
 2004-04-29 , 02:29:07 , +02:01:59 , 0.0 , 265355796 , 99.87 , 331885 , 12.49 , 12.21 k , 0.46 , 36.30 k ,  104.69 M , 4.2 % ,  , 361 , 52 , 82 , 72 ,   graph ,   file ,oc12-ampath (dirA)
 2004-04-22 , 02:59:07 , +02:01:59 , 0.0 , 266360638 , 100.00 , 0 , 0.00 , 0 , 0.00 , 36.39 k ,  115.54 M , 4.6 % ,  , 397 , 52 , 0 , 0 ,   graph ,   file ,oc12-ampath (dirA)
 2004-04-08 , 02:29:07 , +02:01:58 , 0.0 , 353761592 , 99.91 , 302709 , 8.55 , 12.84 k , 0.36 , 48.38 k ,  126.86 M , 5.1 % ,  , 328 , 49 , 83 , 72 ,   graph ,   file ,oc12-ampath (dirA)
 2004-03-17 , 17:59:08 , +02:01:59 , 0.0 , 272776943 , 99.88 , 325799 , 11.93 , 11.74 k , 0.43 , 37.31 k ,  135.64 M , 5.5 % ,  , 455 , 52 , 95 , 72 ,   graph ,   file ,oc12-ampath (dirA)
 2004-02-25 , 18:00:00 , +01:59:59 , 0.0 , 249568379 , 100.00 , 0 , 0.00 , 0 , 0.00 , 34.66 k ,  109.40 M , 4.4 % ,  , 395 , 52 , 0 , 0 ,   graph ,   file ,oc12-ampath (dirA)
 2004-01-22 , 22:00:00 , +00:59:59 , 0.0 , 252748434 , 96.69 , 141220 , 5.40 , 8.50 M , 325.13 , 70.25 k ,  260.43 M , 10.5 % ,  , 464 , 64 , 84 , 72 ,   graph ,   file ,oc12-ampath (dirA)
 2003-05-07 , 16:58:07 , +02:04:07 , 0.0 , 624167926 , 100.00 , 0 , 0.00 , 3.62 k , 0.06 , 83.81 k ,  365.25 M , 14.7 % ,  , 545 , 97 , 0 , 0 ,   graph ,   file ,oc12-ampath (dirA)
 2005-03-02 , 21:59:08 , +02:01:59 , 0.0 , 1361555998 , 99.99 , 82089 , 0.60 , 12.04 k , 0.09 , 186.02 k ,  720.76 M , 29.0 % ,  , 484 , 62 , 133 , 99 ,   graph ,   file ,oc48-paix (dirB)
 2005-02-02 , 21:59:08 , +02:01:59 , 0.0 , 1868840442 , 100.00 , 73144 , 0.39 , 11.94 k , 0.06 , 255.32 k ,  1.11 G , 44.7 % ,  , 544 , 78 , 105 , 99 ,   graph ,   file ,oc48-paix (dirB)
